player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,HitType
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-01-22,18:32:17,1,1,"Lyon, Andrew",837559,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.77365,-1.001565,-4.180781,1975.301318,239.180343,02:00:00,5.71757,2.59987,5.71387,-25.52501,10.44241,15.49052,2.65486,-0.01094,80.79235,-5.753896,-1.418223,0.43164400000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.02607,5.9602,-2.25903,50,5.61791,8.71655,-128.55078,-3.12312,-15.05043,27.5286,-22.23575,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,5a9a77d0-f7fb-11f0-b455-5595f32d0985,87.32291,NA,NA,7.98129,NA,NA,NA,NA,NA,NA,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:32:17,2026-01-23T01:32:17Z,2026-01-23T01:32:17Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,68354831-9fad-4d9d-8ae0-655ff8a57f5a,54.78351,-129.5711,13.7643,5.71839,-2.29898,-11.11787,-2.59244,9.27438,-7.52521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,237.18625,23.409137,1812.716797,0.917691,02:00:00,-0.418986,-0.778088,-0.468006,-81.771228,-27.788053,69.984671,-0.991844,168.929659,-0.125089,-1.402415,0.125089,-0.024474,0.991844,82.811923,-82.677098,0.024474,-0.024474,-168.929659,82.677098,0.991844,1.402415,-82.811923,-0.991844,0.024474,0.125089,-0.125089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-01-22,18:32:32,1,2,"Lyon, Andrew",837559,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.48868,-1.370756,-5.370592,1768.719611,264.890948,02:45:00,5.57623,2.77389,5.79781,-38.55093,2.93315,17.90391,1.08282,-0.7441,75.71968,-8.442693,-2.175971,0.463567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.56056,2.31937,-2.34174,50,5.4402,10.50119,-119.33374,-4.15595,-15.23923,22.80966,-28.82711,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,64049800-f7fb-11f0-b455-5595f32d0985,81.30965,NA,NA,6.769,NA,NA,NA,NA,NA,NA,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:32:32,2026-01-23T01:32:32Z,2026-01-23T01:32:32Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,7f1cda2f-97db-465c-8917-fcb6135d10e4,54.70163,-120.22906,11.40483,5.58112,-3.02444,-14.41356,-2.76567,11.09935,-7.61961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,258.486462,-0.01161,1768.719574,1,02:30:00,0.004857,-0.979592,-0.200936,50.296346,-25.964863,66.343521,0.893078,168.295329,-0.440547,5.236688,0.440547,-0.09127,-0.893078,63.743337,63.262626,0.09127,0.09127,-168.295329,-63.262626,0.893078,-5.236688,-63.743337,-0.893078,-0.09127,0.440547,-0.440547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-01-22,18:32:50,1,3,"Lyon, Andrew",837559,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.01282,-2.558038,-5.579976,1762.432005,260.481731,02:45:00,5.53683,2.83148,5.73972,-37.99778,4.19418,16.8169,-0.02445,-0.97931,75.37577,-9.505233,-2.58278,0.467505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.19245,3.23622,-2.3765,50,5.29939,10.92908,-118.51348,-6.56933,-14.48337,22.83588,-27.5754,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,6e454210-f7fb-11f0-b455-5595f32d0985,80.62471,NA,NA,6.63706,NA,NA,NA,NA,NA,NA,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:32:50,2026-01-23T01:32:50Z,2026-01-23T01:32:50Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,37ff59f3-3a19-4b09-a7c1-2bf2f56c7240,54.76095,-119.42733,11.41794,5.5402,-5.46582,-13.7877,-2.82546,11.50867,-7.24169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,256.928168,-1.861099,1761.502316,0.999472,02:30:00,0.053556,-0.971154,-0.232362,55.148116,-29.491285,63.401659,0.849176,168.98062,-0.518374,5.793511,0.518374,-0.100944,-0.849176,58.598294,58.122111,0.100944,0.100944,-168.98062,-58.122111,0.849176,-5.793511,-58.598294,-0.849176,-0.100944,0.518374,-0.518374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-01-22,18:33:09,1,4,"Lyon, Andrew",837559,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,2,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.33583,-0.182632,-3.621718,2016.939396,248.530786,02:15:00,5.66664,2.67143,5.78315,-28.04068,8.53544,18.29851,3.15966,0.82225,79.50001,-5.423456,-0.350327,0.435281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.39843,4.80988,-2.38319,50,5.63501,7.28763,-127.88812,-1.36309,-16.95708,30.15084,-24.33038,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,7a14a270-f7fb-11f0-b455-5595f32d0985,86.59327,NA,NA,8.83583,NA,NA,NA,NA,NA,NA,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:33:09,2026-01-23T01:33:09Z,2026-01-23T01:33:09Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,b3683a65-787b-46ca-9cbd-716fb589112d,54.71278,-128.99442,15.07542,5.66865,-0.47036,-12.16519,-2.662,7.90982,-8.47854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,232.919302,26.293881,1808.25422,0.896534,01:45:00,-0.473959,-0.716651,-0.511638,-90.153368,-26.617353,61.916308,-0.993962,137.708652,-0.081166,-4.234158,0.081166,-0.073833,0.993962,85.331653,-83.700647,0.073833,-0.073833,-137.708652,83.700647,0.993962,4.234158,-85.331653,-0.993962,0.073833,0.081166,-0.081166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-01-22,18:33:28,1,5,"Lyon, Andrew",837559,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,2,2,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.24033,0.900645,0.069348,2078.342994,71.81418,08:30:00,5.91846,2.44667,5.42194,-47.65428,-3.14425,-14.1152,2.79096,1.33536,73.12618,-7.801057,-2.445587,0.480176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04965,-1.32083,-2.44305,50,5.96578,0.44507,-116.42332,0.14671,9.58486,23.77557,-33.96986,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,853aa370-f7fb-11f0-b455-5595f32d0985,78.49716,NA,NA,7.11415,NA,NA,NA,NA,NA,NA,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:33:28,2026-01-23T01:33:28Z,2026-01-23T01:33:28Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,4edbfe41-a5ca-42df-8898-b52fdc1d34e1,55.07613,-117.45538,11.88779,5.92741,1.62128,-16.98493,-2.45334,0.02901,4.79243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,42.447573,60.79375,1014.137609,0.487955,07:30:00,-0.86802,0.343008,0.359009,15.178392,10.801019,5.357036,-0.884743,99.789122,-0.079244,-27.341479,0.079244,-0.459293,0.884743,84.881844,-62.21994,0.459293,-0.459293,-99.789122,62.21994,0.884743,27.341479,-84.881844,-0.884743,0.459293,0.079244,-0.079244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-01-22,18:33:44,1,6,"Lyon, Andrew",837559,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,3,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,NA,82.82694,-1.067607,-4.857541,1714.526986,253.410844,02:30:00,5.5860900000000004,2.7888,5.88065,-34.91718,6.19111,16.19225,1.68118,-0.38376,75.63986,-7.522228,-1.962681,0.461462,73.75496,24.418563,30.949845,2057.733763,91.87693,32.50285,60.48654,231.10722,217.26251,36.775581,3.066645,-9.75004,3.85823,-2.40535,50,5.47931,9.56468,-119.90496,-3.36267,-14.13591,24.07867,-26.5803,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,8ee4b2d0-f7fb-11f0-b455-5595f32d0985,81.68046,33.07044,NA,7.18708,NA,NA,NA,2.4527,1.83648,0.30278,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:33:44,2026-01-23T01:33:44Z,2026-01-23T01:33:44Z,LineDrive,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,ad1e75c3-bb2d-4f45-88b9-2a6029eda6e1,54.61931,-120.82902,12.03934,5.58878,-2.3426,-13.29015,-2.78282,10.10717,-7.06795,226.485201,2.45266,84.4763,-12.90607,2.80779,-0.75454,0.25425,-0.0919,0.0206,-0.00183,1.8366,44.7133,-17.18314,0.83218,0.12074,-0.17019,0.08273,-0.01831,0.00154,0.30276,50.65711,-1.74286,-0.28526,0.11717,0.00611,-0.01704,0.0054,-5.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,256.800977,3.000129,1712.177084,0.998629,02:30:00,-0.0534,-0.973055,-0.224305,37.747129,-34.779554,60.988458,0.847998,164.379315,-0.510423,8.204777,0.510423,-0.142711,-0.847998,58.95561,57.99463,0.142711,0.142711,-164.379315,-57.99463,0.847998,-8.204777,-58.95561,-0.847998,-0.142711,0.510423,-0.510423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-01-22,18:34:28,2,1,"Lyon, Andrew",837559,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.96161,-0.638725,-3.965172,2190.848857,200.927931,12:45:00,6.0124,2.32756,6.30498,-15.74273,19.34348,6.94433,4.11064,-0.75258,80.66091,-3.685659,-2.714174,0.426324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.7561,10.56158,-2.03932,50,5.95755,8.65093,-128.92103,-1.82727,-7.95251,28.4297,-14.51435,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,a92e6f50-f7fb-11f0-b455-5595f32d0985,88.4127,NA,NA,8.30069,NA,NA,NA,NA,NA,NA,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:34:28,2026-01-23T01:34:28Z,2026-01-23T01:34:28Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,3f864f37-d992-4442-a7c3-a5e620b95191,54.19075,-129.84189,14.21485,6.00912,-1.35714,-7.25718,-2.3237,8.90851,-3.97626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,220.78361,30.433061,1888.997067,0.862222,01:15:00,-0.544169,-0.568818,-0.616705,-66.359718,28.494072,-15.920692,-0.377745,178.21795,-0.925462,-1.649979,0.925462,-0.028794,0.377745,22.203775,-22.194079,0.028794,-0.028794,-178.21795,22.194079,0.377745,1.649979,-22.203775,-0.377745,0.028794,0.925462,-0.925462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-01-22,18:35:05,2,2,"Lyon, Andrew",837559,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.86037,-2.433847,-4.930252,2155.161832,219.27066,01:15:00,5.9981,2.22684,5.95324,-20.48336,14.5193,10.88268,2.02425,-1.44994,81.61797,-6.293889,-2.985151,0.425816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.02733,8.52524,-1.84005,50,5.79243,10.73951,-129.89521,-6.17559,-11.9277,28.8758,-17.70389,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,bf01bee0-f7fb-11f0-b455-5595f32d0985,88.51815,NA,NA,8.24241,NA,NA,NA,NA,NA,NA,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:35:05,2026-01-23T01:35:05Z,2026-01-23T01:35:05Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,574b5634-14f5-41d5-aa0e-085d2a76e114,54.5437,-130.90138,14.4379,5.99687,-5.5587,-8.85195,-2.2215,11.15513,-5.96385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,221.988536,24.958066,1953.906034,0.906617,01:30:00,-0.452268,-0.623882,-0.637358,-42.856879,40.923023,24.370912,-0.345878,174.602575,-0.934119,-5.063394,0.934119,-0.088258,0.345878,20.318177,-20.235411,0.088258,-0.088258,-174.602575,20.235411,0.345878,5.063394,-20.318177,-0.345878,0.088258,0.934119,-0.934119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-01-22,18:35:29,2,3,"Lyon, Andrew",837559,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,1,Top,0,2,0,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.22694,-0.583019,-5.251165,2021.154196,225.843995,01:30:00,5.78051,2.42166,6.01328,-20.55556,15.69883,14.86497,3.52516,-1.21773,79.78093,-4.486417,-2.593855,0.433363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.14993,8.59465,-2.01639,50,5.72336,11.09218,-127.56503,-1.9072,-14.95775,28.182,-18.124,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,cd4b6e10-f7fb-11f0-b455-5595f32d0985,86.97659,NA,NA,8.44601,NA,NA,NA,NA,NA,NA,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:35:29,2026-01-23T01:35:29Z,2026-01-23T01:35:29Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,4fc22689-df3a-49ff-92f7-f712ed4963ae,54.48286,-128.55158,14.091,5.77902,-1.27274,-9.062,-2.41386,11.6158,-7.47887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,232.521605,26.840034,1803.416388,0.892271,01:45:00,-0.492096,-0.712648,-0.499974,-89.78042,-26.194749,60.885732,-0.99422,140.623339,-0.082993,-3.905694,0.082993,-0.068114,0.99422,85.22828,-83.836522,0.068114,-0.068114,-140.623339,83.836522,0.99422,3.905694,-85.22828,-0.99422,0.068114,0.082993,-0.082993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-01-22,18:35:48,2,4,"Lyon, Andrew",837559,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,1,Top,0,3,0,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,89.19913,-2.080375,-5.327979,2220.065545,210.94001600000001,01:00:00,5.99734,2.17625,6.25219,-17.64899,17.38422,9.71682,2.59892,-1.94164,81.18902,-5.450395,-3.58428,0.426002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.53622,9.94855,-1.78387,50,5.83323,11.62868,-128.97967,-5.18241,-10.97553,27.62398,-15.46864,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260122-BrazellField-Private-1,d8b52ed0-f7fb-11f0-b455-5595f32d0985,88.47951,NA,NA,8.01011,NA,NA,NA,NA,NA,NA,372613b9-6719-4d1e-9261-02eb14eeddfd,2026-01-23,01:35:48,2026-01-23T01:35:48Z,2026-01-23T01:35:48Z,NA,v3,5310,5310,NA,"Galvan, Marcus",821906,Right,GRA_CAN,020b82cc-9ef8-479d-87a5-085a4e193376,54.24445,-129.88554,13.81199,5.99486,-4.67515,-7.73432,-2.17111,11.9886,-5.48777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,220.697948,27.716742,1965.330259,0.885258,01:15:00,-0.504244,-0.593754,-0.627052,-61.818514,27.966087,-4.157824,-0.380871,173.027034,-0.917789,-6.445081,0.917789,-0.112251,0.380871,22.537824,-22.387632,0.112251,-0.112251,-173.027034,22.387632,0.380871,6.445081,-22.537824,-0.380871,0.112251,0.917789,-0.917789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
